"","new_year","day_of_week","hijri_year"
"154","1865-08-24","Thursday",1281.84375
"155","1864-08-24","Wednesday",1280.8125
"156","1863-08-25","Tuesday",1279.78125
"157","1862-08-25","Monday",1278.75
"158","1861-08-25","Sunday",1277.71875
"159","1860-08-25","Saturday",1276.6875
"160","1859-08-26","Friday",1275.65625
"161","1858-08-26","Thursday",1274.625
"162","1857-08-26","Wednesday",1273.59375
"163","1856-08-26","Tuesday",1272.5625
"164","1855-08-27","Monday",1271.53125
"165","1854-08-27","Sunday",1270.5
"166","1853-08-27","Saturday",1269.46875
"167","1852-08-27","Friday",1268.4375
"168","1851-08-28","Thursday",1267.40625
"169","1850-08-28","Wednesday",1266.375
"170","1849-08-28","Tuesday",1265.34375
"171","1848-08-28","Monday",1264.3125
"172","1847-08-29","Sunday",1263.28125
"173","1846-08-29","Saturday",1262.25
"174","1845-08-29","Friday",1261.21875
"175","1844-08-29","Thursday",1260.1875
"176","1843-08-30","Wednesday",1259.15625
"177","1842-08-30","Tuesday",1258.125
"178","1841-08-30","Monday",1257.09375
"179","1840-08-30","Sunday",1256.0625
"180","1839-08-31","Saturday",1255.03125
"181","1838-08-31","Friday",1254
"182","1837-08-31","Thursday",1252.96875
"183","1836-08-31","Wednesday",1251.9375
"184","1835-09-01","Tuesday",1250.90625
"185","1834-09-01","Monday",1249.875
"186","1833-09-01","Sunday",1248.84375
"187","1832-09-01","Saturday",1247.8125
"188","1831-09-02","Friday",1246.78125
"189","1830-09-02","Thursday",1245.75
"190","1829-09-02","Wednesday",1244.71875
"191","1828-09-02","Tuesday",1243.6875
"192","1827-09-03","Monday",1242.65625
"193","1826-09-03","Sunday",1241.625
"194","1825-09-03","Saturday",1240.59375
"195","1824-09-03","Friday",1239.5625
"196","1823-09-04","Thursday",1238.53125
"197","1822-09-04","Wednesday",1237.5
"198","1821-09-04","Tuesday",1236.46875
"199","1820-09-04","Monday",1235.4375
"200","1819-09-05","Sunday",1234.40625
"201","1818-09-05","Saturday",1233.375
"202","1817-09-05","Friday",1232.34375
"203","1816-09-05","Thursday",1231.3125
"204","1815-09-06","Wednesday",1230.28125
"205","1814-09-06","Tuesday",1229.25
"206","1813-09-06","Monday",1228.21875
"207","1812-09-06","Sunday",1227.1875
"208","1811-09-07","Saturday",1226.15625
"209","1810-09-07","Friday",1225.125
"210","1809-09-07","Thursday",1224.09375
"211","1808-09-07","Wednesday",1223.0625
"212","1807-09-08","Tuesday",1222.03125
"213","1806-09-08","Monday",1221
"214","1805-09-08","Sunday",1219.96875
"215","1804-09-08","Saturday",1218.9375
"216","1803-09-09","Friday",1217.90625
"217","1802-09-09","Thursday",1216.875
"218","1801-09-09","Wednesday",1215.84375
"219","1800-09-09","Tuesday",1214.8125
"220","1799-09-09","Monday",1213.78125
